ID,Title,Year_of_release,Target_Age,IMDb_rating,Rotten_tomatoes_rating,Netflix,Prime_Video,Disney,Runtime_in_mins,Genre_Crime,Genre_Drama,Genre_Romance,Genre_Action,Genre_Comedy,Genre_Adventure,Genre_Sci_Fi,Genre_Thriller,Genre_Animation,Language_Hindi,Language_English,Language_Other
2046,Duplicate,1998,7+,5.6,51,1,0,0,100,0,1,0,0,0,0,1,0,0,0,1,0
2047,What We Wanted,2020,18+,5.8,51,1,0,0,93,0,1,0,0,0,0,0,0,0,0,0,1
2048,Jim Norton: Mouthful of Shame,2017,18+,6.8,51,1,0,0,61,0,0,0,0,1,0,0,0,0,0,1,0
2049,Michael McIntyre: Showman,2020,18+,7.2,51,1,0,0,62,0,0,0,0,1,0,0,0,0,0,1,0
2050,No Other Woman,2011,16+,6.3,51,1,0,0,58,0,1,0,0,0,0,0,0,0,0,1,0
2051,River's Edge,2018,18+,6.1,51,1,0,0,99,1,1,0,0,0,0,0,0,0,0,1,0
2052,Love and Shukla,2017,18+,7.4,51,1,0,0,107,0,1,1,0,1,0,0,0,0,1,0,0
2053,Ali Baba and the 7 Dwarfs,2015,13+,5.7,51,1,0,0,114,0,1,0,1,1,0,0,0,0,0,1,1
2054,Merata: How Mum Decolonised the Screen,2019,18+,7,51,1,0,0,89,0,0,0,0,0,0,0,0,0,0,1,0
2055,I Hate Luv Storys,2010,7+,5.6,51,1,0,0,129,0,1,1,0,1,0,0,0,0,1,0,0
2056,FTA,1972,18+,6.5,51,1,0,0,103,0,0,0,0,1,0,0,0,0,0,1,0
2057,Let's Dance,2019,18+,6,51,1,0,0,104,1,1,1,0,0,0,0,0,0,0,1,0
2058,Tere Naal Love Ho Gaya,2012,7+,5.8,51,1,0,0,130,0,1,1,0,1,0,0,0,0,1,0,0
2059,Lady Driver,2020,7+,5.9,51,1,0,0,104,0,0,0,0,0,0,0,0,0,0,1,0
2060,Sarah Cooper: Everything's Fine,2020,18+,5.6,51,1,0,0,49,0,0,0,0,1,0,0,0,0,0,1,0
2061,League of Legends Origins,2019,18+,6.5,51,1,0,0,77,0,0,0,0,0,0,0,0,0,0,1,0
2062,The Creative Brain,2019,18+,6.3,51,1,0,0,52,0,0,0,0,0,0,0,0,0,0,1,0
2063,Jacob's Ladder,2019,18+,3.5,51,1,0,0,113,0,1,0,0,0,0,0,0,0,0,1,0
2064,Free Rein: The Twelve Neighs of Christmas,2018,18+,6.5,51,1,0,0,56,0,1,0,0,1,1,0,0,0,0,1,0
2065,Love for Sale,2018,18+,7.4,51,1,0,0,100,0,1,1,0,0,0,0,0,0,0,0,1
2066,Hate by Dani Rovira,2021,18+,6.7,51,1,0,0,82,0,0,0,0,1,0,0,0,0,0,0,1
2067,The Heaven None Missed,2015,18+,7.8,51,1,0,0,125,0,1,1,0,0,0,0,0,0,0,0,1
2068,An American Girl: McKenna Shoots for the Stars,2012,all,5.9,51,1,0,0,93,0,1,0,0,0,0,0,0,0,0,1,0
2069,Guest House,2020,18+,4.4,51,1,0,0,84,0,0,0,0,1,0,0,0,0,0,1,0
2070,Squared Love,2021,13+,5,51,1,0,0,102,0,0,1,0,1,0,0,0,0,0,0,1
2071,The Milk System,2018,18+,7.1,51,1,0,0,90,0,0,0,0,0,0,0,0,0,0,1,1
2072,Tottaa Pataaka Item Maal,2018,18+,7.5,51,1,0,0,107,0,1,0,0,0,0,0,0,0,1,0,0
2073,Whitney Cummings: Money Shot,2010,18+,6.2,51,1,1,0,48,0,0,0,0,1,0,0,0,0,0,1,0
2074,Battlefield Earth,2000,13+,2.5,51,1,0,0,118,0,0,0,1,0,1,1,0,0,0,1,0
2075,Alice Júnior,2019,18+,7,51,1,0,0,87,0,1,0,0,1,0,0,0,1,0,1,1
2076,Private Network: Who Killed Manuel Buendia,2021,18+,6.8,51,1,0,0,100,1,0,0,0,0,0,0,0,0,0,0,1
2077,Milada,2017,18+,6.3,51,1,0,0,124,0,1,0,0,0,0,0,0,0,0,1,1
2078,Kilometers and Kilometers,2020,18+,6.4,51,1,0,0,129,0,1,0,0,1,1,0,0,0,0,0,1
2079,Tom Papa: You're Doing Great!,2020,18+,7.2,51,1,0,0,60,0,0,0,0,1,0,0,0,0,0,1,0
2080,Prem Ratan Dhan Payo,2015,18+,4.4,51,1,0,0,164,0,1,1,1,0,0,0,0,0,1,1,1
2081,Black Beach,2020,18+,5.5,51,1,0,0,110,0,1,0,1,0,0,0,1,0,0,1,1
2082,Judwaa 2,2017,16+,3.6,51,1,0,0,145,0,0,0,1,1,0,0,0,0,1,0,0
2083,Roped,2020,7+,5.4,51,1,0,0,91,0,1,1,0,0,0,0,0,0,0,1,0
2084,Yol Arkadaşım 2,2018,13+,5.8,51,1,0,0,95,0,1,1,0,0,0,0,0,0,0,0,1
2085,"Ray Romano: Right Here, Around the Corner",2019,18+,7.2,51,1,0,0,58,0,0,0,0,1,0,0,0,0,0,1,0
2086,M8 - When Death Rescues Life,2019,18+,7,51,1,0,0,84,0,1,0,0,0,0,0,0,0,0,0,1
2087,Selfie 69,2016,18+,6.2,51,1,0,0,116,0,0,1,1,1,0,0,0,0,0,1,1
2088,Brian Regan: On the Rocks,2021,18+,6.9,51,1,0,0,58,0,0,0,0,1,0,0,0,0,0,1,0
2089,Hulk: Where Monsters Dwell,2016,7+,5.4,51,1,0,0,75,0,0,0,1,0,0,1,0,1,0,1,0
2090,Arctic Dogs,2019,7+,4.7,51,1,0,0,92,0,0,0,0,1,1,0,0,1,0,1,1
2091,The Blazing Sun,1954,18+,7.4,51,1,1,0,105,1,1,1,0,0,0,0,0,0,0,0,1
2092,7 Yards: The Chris Norton Story,2021,18+,8.9,51,1,0,0,93,0,0,0,0,0,0,0,0,0,0,1,0
2093,Shonar Pahar,2018,18+,8.1,51,1,0,0,140,0,1,0,0,0,0,0,0,0,0,0,1
2094,Material,2012,18+,7.3,51,1,0,0,94,0,1,0,0,1,0,0,0,0,0,1,0
2095,Masameer: The Movie,2020,18+,6,51,1,0,0,110,0,0,0,0,0,0,0,0,1,0,0,1
2096,DNA,2020,18+,5.9,51,1,0,0,321,1,1,0,0,0,0,0,1,0,0,1,1
2097,Desire,2017,18+,3.9,51,1,0,0,103,0,1,1,0,0,0,0,0,0,0,0,1
2098,The Lost Brother,2017,18+,6.5,51,1,0,0,112,1,1,0,0,0,0,0,1,0,0,0,1
2099,This Earth of Mankind,2019,18+,6.6,51,1,0,0,181,0,1,0,0,0,0,0,0,0,0,0,1
2100,Cuddle Weather,2019,18+,6.1,51,1,0,0,95,0,1,1,0,0,0,0,0,0,0,0,1
2101,Husband Factor: Resurrection,2015,7+,5.7,51,1,0,0,108,0,1,0,0,1,0,0,0,0,0,0,1
2102,Born in Gaza,2014,18+,7.5,51,1,0,0,54,0,0,0,0,0,0,0,0,0,0,1,1
2103,Chameli,2003,18+,7,51,1,0,0,108,0,1,0,0,0,0,0,0,0,1,0,0
2104,The Stolen,2017,16+,5.3,51,1,0,0,98,0,1,0,1,0,1,0,1,0,0,1,1
2105,Love Aaj Kal,2020,18+,4.7,51,1,0,0,128,0,1,1,0,1,0,0,0,0,1,0,0
2106,Pyaar Ke Side Effects,2006,all,6.7,51,1,0,0,132,0,1,1,0,1,0,0,0,0,1,1,1
2107,Eddie: Strongman,2015,16+,7.4,51,1,0,0,98,0,0,0,0,0,0,0,0,0,0,1,0
2108,Sam Jay: 3 in the Morning,2020,18+,6.5,51,1,0,0,64,0,0,0,0,1,0,0,0,0,0,1,0
2109,What About Dick?,2012,all,7.5,51,1,0,0,81,0,0,0,0,1,0,0,0,0,0,1,0
2110,"Main, Meri Patni Aur Woh",2005,all,7.2,51,1,0,0,129,0,1,1,0,1,0,0,0,0,1,1,0
2111,Audible,2021,13+,5.3,51,1,0,0,39,0,0,0,0,0,0,0,0,0,0,1,0
2112,Bartkowiak,2021,18+,5.6,51,1,0,0,91,1,0,0,1,0,0,0,0,0,0,0,1
2113,Tarek's Situation,2006,18+,6.9,51,1,0,0,108,0,0,1,0,1,0,0,0,0,0,0,1
2114,My Führer,2007,18+,5.5,51,1,0,0,89,0,1,0,0,1,0,0,0,0,0,0,1
2115,Gnome Alone,2017,7+,5.6,51,1,0,0,85,0,0,0,0,1,1,0,0,1,0,1,0
2116,Bride for Rent,2014,18+,6.5,51,1,0,0,115,0,0,1,0,1,0,0,0,0,0,0,1
2117,The Holiday Calendar,2018,18+,5.7,51,1,0,0,95,0,1,1,0,0,0,0,0,0,0,1,0
2118,A Kid from Coney Island,2019,18+,7.1,51,1,0,0,95,0,0,0,0,0,0,0,0,0,0,1,0
2119,Aruna & Her Palate,2018,18+,7.3,51,1,0,0,106,0,1,0,0,0,0,0,0,0,0,0,1
2120,Sabrina,2018,18+,4.2,51,1,0,0,22,0,0,0,0,1,0,0,0,0,0,1,0
2121,Operações Especiais,2015,18+,6.4,51,1,0,0,98,0,0,0,1,0,0,0,1,0,0,1,0
2122,The Main Event,2020,18+,4.8,51,1,0,0,101,0,0,0,1,1,0,0,0,0,0,1,0
2123,Once Again,2019,18+,7,51,1,0,0,101,0,1,1,0,0,0,0,0,0,1,0,0
2124,"Ken Jeong: You Complete Me, Ho",2019,18+,5.7,51,1,0,0,62,0,0,0,0,1,0,0,0,0,0,1,0
2125,Old Thieves: The Legend of Artegio,2007,18+,8.1,51,1,0,0,97,1,0,0,0,0,0,0,0,0,0,0,1
2126,Chaman Bahar,2020,18+,7,51,1,0,0,111,0,1,0,0,1,0,0,0,0,1,0,0
2127,Delhi-6,2009,18+,6.1,51,1,0,0,141,0,1,0,0,0,0,0,0,0,1,1,0
2128,ReMastered: The Miami Showband Massacre,2019,18+,7,51,1,0,0,71,1,0,0,0,0,0,0,0,0,0,1,0
2129,Consequences,2014,13+,6.6,51,1,0,0,95,0,1,0,0,0,0,0,0,0,0,0,1
2130,You're My Boss,2015,7+,6.3,51,1,0,0,116,0,0,1,0,1,0,0,0,0,0,0,1
2131,Sen Kiminle Dans Ediyorsun?,2017,13+,5.7,51,1,0,0,106,0,0,0,0,1,0,0,0,0,0,0,1
2132,Miss Virginia,2019,16+,7,51,1,0,0,102,0,1,0,0,0,0,0,0,0,0,1,0
2133,Kevin James: Never Don't Give Up,2018,7+,6.1,51,1,0,0,62,0,0,0,0,1,0,0,0,0,0,1,0
2134,Coffee & Kareem,2020,18+,5.1,51,1,0,0,88,1,0,0,1,1,0,0,0,0,0,1,0
2135,Only Mine,2019,16+,4.7,51,1,0,0,87,0,1,0,0,0,0,0,1,0,0,1,0
2136,Lens,2016,18+,6.7,51,1,0,0,109,0,1,0,0,0,0,0,1,0,1,1,1
2137,Back to the 90s,2015,18+,6.5,50,1,0,0,111,0,0,1,0,1,0,0,0,0,0,0,1
2138,Tiffany Haddish: She Ready! From the Hood to Hollywood!,2017,18+,6.7,50,1,0,0,65,0,0,0,0,1,0,0,0,0,0,1,0
2139,Pets United,2019,7+,3.8,50,1,0,0,89,0,0,0,0,1,1,0,0,1,0,1,0
2140,DeRay Davis: How to Act Black,2017,7+,6.2,50,1,0,0,66,0,0,0,0,1,0,0,0,0,0,1,0
2141,The C Word,2016,18+,7.6,50,1,0,0,30,0,1,0,0,1,0,0,0,0,0,1,0
2142,John & Yoko: Above Us Only Sky,2018,18+,7.4,50,1,0,0,90,0,0,0,0,0,0,0,0,0,0,1,0
2143,ReMastered: Massacre at the Stadium,2019,18+,7.3,50,1,0,0,64,0,1,0,0,0,0,0,0,0,0,1,1
2144,Fate/Grand Order: First Order,2016,18+,5.7,50,1,0,0,74,0,1,0,1,0,0,0,0,1,0,0,1
2145,Headspace: Unwind Your Mind,2021,all,7.6,50,1,0,0,15,0,0,0,0,0,0,0,0,1,0,1,0
2146,Free Rein: Valentine's Day,2019,18+,8,50,1,0,0,50,0,1,0,1,1,1,0,0,0,0,1,0
2147,Toll Booth,2011,18+,6.5,50,1,0,0,96,0,1,0,0,0,0,0,0,0,0,0,1
2148,I Will Follow,2010,13+,6,50,1,0,0,80,0,1,0,0,0,0,0,0,0,0,1,0
2149,The Mistress,2012,13+,6.3,50,1,0,0,125,0,1,0,0,0,0,0,0,0,0,1,1
2150,Double Dad,2021,18+,5.6,50,1,0,0,103,0,1,0,0,1,0,0,0,0,0,0,1
2151,Expedition Happiness,2017,all,5.9,50,1,0,0,95,0,0,0,0,0,0,0,0,0,0,1,1
2152,Golmaal Returns,2008,7+,5.1,50,1,0,0,135,1,0,0,0,1,0,0,0,0,1,0,0
2153,Well Done Abba,2010,18+,7.3,50,1,0,0,144,0,0,0,0,1,0,0,0,0,1,0,0
2154,Running Shaadi,2017,18+,6.6,50,1,0,0,114,0,0,1,0,1,0,0,0,0,1,0,0
2155,Hedefim Sensin,2018,18+,6.2,50,1,0,0,113,0,0,0,0,1,0,0,0,0,0,0,1
2156,The Unmarried Wife,2016,18+,6,50,1,0,0,130,0,1,1,0,0,0,0,0,0,0,0,1
2157,Trippin’ with the Kandasamys,2021,18+,5.1,50,1,0,0,93,0,0,1,0,1,0,0,0,0,0,1,0
2158,Deuces,2017,18+,5.9,50,1,0,0,87,1,1,0,1,0,0,0,0,0,0,1,0
2159,Chaahat,1996,all,5.5,50,1,0,0,95,0,1,0,0,0,0,0,0,0,1,0,0
2160,Brené Brown: The Call to Courage,2019,18+,7.6,50,1,0,0,76,0,1,0,0,0,0,0,0,0,0,1,0
2161,Ryan Hamilton: Happy Face,2017,18+,7.3,50,1,0,0,56,0,0,0,0,1,0,0,0,0,0,1,0
2162,Luv Shuv Tey Chicken Khurana,2012,7+,6.6,50,1,0,0,140,0,0,0,0,1,0,0,0,0,1,0,0
2163,The Bridge Curse,2020,18+,5.3,50,1,0,0,88,0,0,0,0,0,0,0,1,0,0,0,1
2164,"My Teacher, My Obsession",2018,16+,4.4,50,1,0,0,90,0,1,0,0,0,0,0,1,0,0,1,0
2165,1000 Rupee Note,2016,18+,7.3,50,1,0,0,89,0,1,0,0,0,0,0,0,0,0,0,1
2166,Break,2018,18+,5.9,50,1,1,0,90,0,1,1,0,1,0,0,0,0,0,1,0
2167,Deadly Illusions,2021,18+,3.7,50,1,0,0,114,0,1,0,0,0,0,0,1,0,0,1,0
2168,For the Birds,2018,18+,6.7,50,1,1,1,3,0,0,0,0,1,0,0,0,1,0,0,1
2169,Duniya,1984,18+,6.9,50,1,0,0,169,0,1,0,1,0,0,0,0,0,1,0,0
2170,Door Ke Darshan,2020,18+,6.2,50,1,1,0,119,0,1,0,0,1,0,0,0,0,1,0,0
2171,Jaoon Kahan Bata Ae Dil,2018,18+,5.9,50,1,0,0,106,0,1,1,0,0,0,0,0,0,1,0,0
2172,Laerte-se,2017,18+,6.9,50,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1
2173,Nathicharami,2018,18+,7.2,50,1,0,0,113,0,1,0,0,0,0,0,0,0,0,0,1
2174,Michelle Buteau: Welcome to Buteaupia,2020,18+,7.1,50,1,0,0,58,0,0,0,0,1,0,0,0,0,0,1,0
2175,The Ronda Rousey Story: Through My Father's Eyes,2019,18+,6.2,50,1,0,0,104,0,0,0,0,0,0,0,0,0,0,1,0
2176,Frank and Cindy,2015,18+,6.1,50,1,0,0,102,0,0,0,0,1,0,0,0,0,0,1,0
2177,My Amnesia Girl,2010,18+,6.8,50,1,0,0,110,0,0,0,0,1,0,0,0,0,0,1,1
2178,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),2015,18+,6.8,50,1,0,0,78,0,0,0,0,1,0,0,0,0,0,1,0
2179,The Killer,2017,18+,6.1,50,1,0,0,95,1,1,0,1,0,0,0,1,0,0,1,0
2180,Marlon Wayans: Woke-ish,2018,18+,6.5,50,1,0,0,68,0,0,0,0,1,0,0,0,0,0,1,0
2181,We Are Family,2016,18+,6.2,50,1,0,0,94,0,1,0,0,1,0,0,0,0,0,1,0
2182,Love.com,2017,18+,5.8,50,1,0,0,91,0,0,1,0,1,0,0,0,0,0,0,1
2183,Drive,2019,13+,3.5,50,1,0,0,100,1,1,0,0,0,0,0,0,0,0,1,1
2184,Saaho,2019,18+,5.2,50,1,0,0,170,0,0,0,1,0,0,0,1,0,0,0,1
2185,Rebirth,2016,18+,5,50,1,0,0,100,0,0,0,0,0,0,0,1,0,0,1,1
2186,All I Wish,2018,18+,5.2,50,1,0,0,94,0,1,1,0,1,0,0,0,0,0,1,0
2187,Talentime,2009,18+,6.9,50,1,0,0,120,0,1,0,0,0,0,0,0,0,0,1,1
2188,The Twins Effect II,2004,18+,4.9,50,1,0,0,106,0,0,0,1,1,1,0,0,0,0,0,1
2189,Kaal,2005,13+,4.6,50,1,0,0,126,0,0,0,0,0,1,1,1,0,1,0,0
2190,Birth Reborn,2013,18+,8,50,1,0,0,91,0,0,0,0,0,0,0,0,0,0,0,1
2191,Angela's Christmas Wish,2020,18+,7.1,50,1,0,0,47,0,1,0,0,1,1,0,0,1,0,1,0
2192,Heroine,2012,18+,5.1,50,1,0,0,43,0,1,0,0,0,0,0,1,0,0,1,0
2193,Tini: The New Life of Violetta,2016,all,5.5,50,1,0,0,99,0,0,0,0,0,1,0,0,0,0,0,1
2194,Cycle,2018,18+,8.2,50,1,0,0,127,0,0,0,0,1,0,0,0,0,0,0,1
2195,Seriously Single,2020,18+,4.4,50,1,0,0,107,0,0,1,0,1,0,0,0,0,0,1,0
2196,And Then Came Lola,2009,7+,4,50,1,0,0,71,0,1,1,0,1,0,0,0,0,0,1,0
2197,Killing Hasselhoff,2017,18+,4.5,50,1,0,0,80,0,0,0,0,1,0,0,0,0,0,1,0
2198,Air Strike,2018,18+,3.2,50,1,0,0,120,0,1,0,1,0,1,0,0,0,0,1,1
2199,The Mansion,2017,13+,4.6,50,1,0,0,100,0,0,0,0,1,0,0,0,0,0,1,1
2200,Children of God,1994,18+,6.3,50,1,1,0,63,0,0,0,0,0,0,0,0,0,0,1,0
2201,The Tambour of Retribution,2021,18+,7.3,50,1,0,0,92,0,1,0,0,0,0,0,0,0,0,0,1
2202,Ferrari Ki Sawaari,2012,all,6.4,50,1,0,0,140,0,1,0,0,1,0,0,0,0,1,0,0
2203,Doob,2017,18+,6.2,50,1,0,0,85,0,1,0,0,0,0,0,0,0,0,0,1
2204,Exes Baggage,2018,18+,6.7,50,1,0,0,104,0,1,1,0,0,0,0,0,0,0,0,1
2205,God Bless the Broken Road,2018,7+,5.6,50,1,0,0,111,0,1,1,0,0,0,0,0,0,0,1,0
2206,Leal,2018,18+,6,50,1,0,0,107,1,1,0,1,0,0,0,0,0,0,0,1
2207,Awara Paagal Deewana,2002,13+,6.2,50,1,0,0,158,1,1,0,1,1,0,0,1,0,1,0,0
2208,Brian Regan: Nunchucks and Flamethrowers,2017,18+,6.3,50,1,0,0,61,0,0,0,0,1,0,0,0,0,0,1,0
2209,Cops and Robbers,2020,13+,6.9,50,1,0,0,88,0,0,0,1,0,0,0,1,0,0,1,0
2210,Sitting in Limbo,2020,18+,7.5,50,1,0,0,89,0,1,0,0,0,0,0,0,0,0,1,0
2211,The Meaning of Monty Python,2013,18+,7.7,50,1,0,0,60,0,0,0,0,0,0,0,0,0,0,1,0
2212,ATM,2012,18+,7.1,50,1,0,0,90,0,0,0,0,0,0,0,1,0,0,1,0
2213,Asphalt Burning,2020,16+,5.1,50,1,0,0,100,0,0,0,1,1,0,0,0,0,0,1,1
2214,Rainbow Time,2016,18+,5.9,50,1,0,0,91,0,1,0,0,1,0,0,0,0,0,1,0
2215,Friendsgiving,2020,18+,4.3,50,1,0,0,95,0,1,0,0,1,0,0,0,0,0,1,0
2216,Christina P: Mother Inferior,2017,18+,6.3,50,1,0,0,59,0,0,0,0,1,0,0,0,0,0,1,0
2217,Sarvam Thaala Mayam,2019,7+,7.5,50,1,0,0,131,0,1,0,0,0,0,0,0,0,0,0,1
2218,Rory Scovel Tries Stand-Up for the First Time,2017,18+,6.7,50,1,0,0,66,0,0,0,0,1,0,0,0,0,0,1,0
2219,Salam - The First ****** Nobel Laureate,2019,18+,7.9,50,1,0,0,75,0,0,0,0,0,0,0,0,0,0,1,0
2220,Aiyaary,2018,18+,5.3,50,1,0,0,157,0,1,0,1,0,0,0,1,0,1,0,0
2221,Clive Davis: The Soundtrack of Our Lives,2017,13+,7.5,50,1,0,0,123,0,0,0,0,0,0,0,0,0,0,1,0
2222,Posesif,2017,18+,7.3,50,1,0,0,102,0,1,1,0,0,0,0,0,0,0,0,1
2223,Puerto Ricans in Paris,2015,18+,5.3,50,1,0,0,82,0,0,0,0,1,0,0,0,0,0,1,0
2224,Chamatkar,1992,7+,6.6,50,1,0,0,171,0,1,0,0,1,0,0,0,0,1,0,0
2225,Poeslief: een ode aan de kat,2021,18+,5.1,50,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,1
2226,Brave Blue World: Racing to Solve Our Water Crisis,2019,18+,6.7,50,1,0,0,50,0,0,0,0,0,0,0,0,0,0,1,0
2227,Apaharan,2005,18+,7.4,50,1,0,0,45,1,0,0,1,0,0,0,1,0,1,0,0
2228,Off Course,2015,18+,5.8,50,1,0,0,104,0,0,0,0,1,0,0,0,0,0,0,1
2229,"Oh, Ramona!",2019,18+,4.9,50,1,0,0,109,0,0,1,0,1,0,0,0,0,0,1,0
2230,Tragic Jungle,2020,18+,5.6,50,1,0,0,96,0,1,0,0,0,0,0,0,0,0,1,1
2231,The Beast,2020,18+,5.2,50,1,0,0,100,0,0,0,0,0,1,1,0,0,0,1,0
2232,House Arrest,2019,18+,5.5,50,1,1,0,108,0,0,0,0,1,0,0,0,0,0,1,0
2233,Jeremiah Tower: The Last Magnificent,2016,18+,6.5,50,1,0,0,103,0,0,0,0,0,0,0,0,0,0,1,0
2234,Wandering Stars,2019,18+,7.1,50,1,0,0,86,0,0,0,0,0,0,0,0,0,0,0,1
2235,Intuition,2020,18+,5.4,50,1,0,0,116,1,0,0,0,0,0,0,1,0,0,0,1
2236,Kevin Hart's Guide to Black History,2019,7+,5.5,50,1,0,0,62,0,0,0,0,1,0,0,0,0,0,1,0
2237,Spanish Affair 2,2015,18+,5.4,50,1,0,0,99,0,0,1,0,1,0,0,0,0,0,0,1
2238,The Stand at Paxton County,2020,18+,6.4,50,1,0,0,102,0,0,0,0,0,0,0,1,0,0,1,0
2239,SuckSeed,2011,13+,7.4,50,1,0,0,130,0,0,1,0,1,0,0,0,0,0,0,1
2240,Back of the Net,2019,18+,5.2,50,1,1,0,98,0,0,0,0,1,0,0,0,0,0,1,0
2241,My Perfect Romance,2018,13+,4.7,50,1,0,0,91,0,0,1,0,0,0,0,0,0,0,1,0
2242,Jen Kirkman: Just Keep Livin'?,2017,18+,6.7,50,1,0,0,69,0,0,0,0,1,0,0,0,0,0,1,0
2243,Paradise Lost,2018,18+,7.1,50,1,1,0,93,0,0,0,0,0,0,0,1,0,0,1,1
2244,Cemara's Family,2019,all,7.8,50,1,0,0,110,0,1,0,0,0,0,0,0,0,0,0,1
2245,Headwinds,2011,18+,6.4,50,1,0,0,91,0,1,0,0,0,0,0,0,0,0,0,1
2246,Tales from the Hood 2,2018,18+,4.4,50,1,0,0,111,0,0,0,0,1,0,0,0,0,0,1,0
2247,Painted Faces,1988,7+,7.2,50,1,0,0,112,0,1,0,0,0,0,0,0,0,0,1,1
2248,Despite Everything,2019,18+,5.4,50,1,0,0,78,0,0,0,0,1,0,0,0,0,0,1,1
2249,Aapla Manus,2018,18+,7.1,50,1,0,0,138,0,1,0,0,0,0,0,1,0,0,0,1
2250,"Isa Pa, with Feelings",2019,18+,7.8,50,1,0,0,102,0,0,1,0,1,0,0,0,0,0,0,1
2251,Romantik Komedi,2010,all,5.3,50,1,0,0,95,0,0,1,0,1,0,0,0,0,0,0,1
2252,The Doll,2016,18+,5.2,50,1,0,0,89,0,0,0,0,0,0,0,1,0,0,1,0
2253,Beauties of the Night,2016,18+,7.3,50,1,0,0,92,0,0,0,0,0,0,0,0,0,0,0,1
2254,Roohi,2021,18+,4.3,50,1,0,0,134,0,0,0,0,1,0,0,0,0,1,0,0
2255,Grand-Daddy Day Care,2019,13+,4.9,50,1,0,0,96,0,0,0,0,1,0,0,0,0,0,1,0
2256,Born to Play,2020,18+,6.3,49,1,0,0,92,0,0,0,0,0,0,0,0,0,0,1,0
2257,Elliot: The Littlest Reindeer,2018,7+,5.1,49,1,0,0,89,0,0,0,0,0,0,0,0,1,0,1,0
2258,Your Son,2018,18+,6.1,49,1,0,0,103,1,1,0,1,0,1,0,1,0,0,0,1
2259,Family Seductions,2021,18+,4.6,49,1,0,0,87,0,0,0,0,0,0,0,1,0,0,1,0
2260,Sila Samayangalil,2016,16+,7.2,49,1,0,0,110,0,1,0,0,0,0,0,0,0,0,0,1
2261,The B-Side: Elsa Dorfman's Portrait Photography,2017,18+,6.7,49,1,0,0,76,0,0,0,0,0,0,0,0,0,0,1,0
2262,S.M.A.R.T. Chase,2017,18+,4.6,49,1,0,0,95,0,0,0,1,0,0,0,1,0,0,1,1
2263,Ishq Vishk,2003,18+,6,49,1,0,0,134,0,0,1,0,1,0,0,0,0,1,0,0
2264,Fred Armisen: Standup for Drummers,2018,18+,5.8,49,1,0,0,65,0,0,0,0,1,0,0,0,0,0,1,1
2265,Milkwater,2020,18+,4.9,49,1,0,0,101,0,1,0,0,0,0,0,0,0,0,1,0
2266,Solo,2018,18+,5,49,1,0,0,135,0,0,0,1,0,1,1,0,0,0,1,0
2267,Deadly Switch,2019,18+,4.5,49,1,0,0,87,0,0,0,0,0,0,0,1,0,0,1,0
2268,London Heist,2017,18+,5.2,49,1,0,0,95,0,0,0,1,0,0,0,1,0,0,1,0
2269,Uriyadi 2,2019,all,7.2,49,1,0,0,119,0,0,0,1,0,0,0,1,0,0,0,1
2270,My Stupid Boss,2016,18+,7.2,49,1,0,0,108,0,0,0,0,1,0,0,0,0,0,1,1
2271,Saheb Biwi Aur Gangster Returns,2013,18+,6.8,49,1,0,0,142,1,1,0,1,0,0,0,1,0,1,0,0
2272,Layla Majnun,2021,16+,6.4,49,1,0,0,119,0,1,1,0,0,0,0,0,0,0,0,1
2273,Unspeakable Acts,1990,18+,6.2,49,1,0,0,100,0,1,0,0,0,0,0,0,0,0,1,0
2274,Zindagi Kitni Haseen Hay,2016,all,6,49,1,0,0,150,0,0,1,0,0,1,0,0,0,0,0,1
2275,Raja Natwarlal,2014,7+,6.1,49,1,0,0,141,1,0,0,0,0,0,0,1,0,1,0,0
2276,The Trap,2019,18+,4.3,49,1,0,0,62,0,1,0,0,0,0,0,1,0,0,1,1
2277,Dead Again in Tombstone,2017,18+,4.4,49,1,0,0,100,0,0,0,1,0,0,0,0,0,0,1,0
2278,Amy Tan: Unintended Memoir,2021,18+,7.4,49,1,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0
2279,Bill Hicks: One Night Stand,1991,18+,8.2,49,1,0,0,95,0,0,0,0,0,0,0,0,0,0,1,0
2280,The Emigrant,1994,18+,6.6,49,1,0,0,129,0,1,0,0,0,0,0,0,0,0,0,1
2281,Picture a Scientist,2020,13+,7.7,49,1,0,0,103,0,0,0,0,0,0,0,0,0,0,1,0
2282,Devil's Mistress,2016,18+,5.8,49,1,0,0,66,0,0,0,0,0,0,0,0,0,0,1,0
2283,Life's Speed Bump,2006,18+,6.6,49,1,0,0,110,0,0,1,0,1,0,0,0,0,0,0,1
2284,Manje Bistre,2017,18+,6.6,49,1,0,0,137,0,1,0,0,1,0,0,0,0,0,0,1
2285,Kartini: Princess of Java,2017,18+,7.7,49,1,0,0,122,0,1,0,0,0,0,0,0,0,0,1,1
2286,Thackeray,2019,18+,5.2,49,1,0,0,120,0,1,0,0,0,0,0,0,0,1,0,1
2287,Hurricane Bianca: From Russia with Hate,2018,18+,4.8,49,1,0,0,85,0,0,0,0,1,0,0,0,0,0,1,0
